,Type,Dataset,Train Size,Validation Size,Test Size,Train F1,Train Recall,Train Precision,Train Accuracy,Validation F1,Validation Recall,Validation Precision,Validation Accuracy,Test F1,Test Recall,Test Precision,Test Accuracy,Params,Time
30,Boosting,Outliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.975536250433965,0.976118297417045,0.9757682226659714,0.976118297417045,0.9713989740451329,0.9715486582605884,0.9722113607998378,0.9715486582605884,0.9705198874954105,0.9710163513946778,0.9705005498271425,0.9710163513946778,{'learning_rate': 0.5},166
31,Boosting,Outliers_NoCorr_ST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.9911801449444876,0.9909329090135938,0.9916959788458424,0.9909329090135938,0.9905877722153866,0.9903006789524733,0.9912097259929067,0.9903006789524733,0.989742326816332,0.9894838089131132,0.9903296740392535,0.9894838089131132,{'learning_rate': 0.1},187
32,SVM,Outliers_NoCorr_NoST_PCA.csv,"(72901, 2)","(15465, 2)","(15595, 2)",0.6838205350274296,0.5201574738343782,0.9993269639886013,0.5201574738343782,0.6818483165512577,0.5178144196572907,0.9994243402034093,0.5178144196572907,0.680968192889863,0.5169605642834241,0.9992436959606343,0.5169605642834242,{'kernel': 'rbf'},743
33,SVM,Outliers_NoCorr_NoST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.6838205350274296,0.5201574738343782,0.9993269639886013,0.5201574738343782,0.6818483165512577,0.5178144196572907,0.9994243402034093,0.5178144196572907,0.680968192889863,0.5169605642834241,0.9992436959606343,0.5169605642834242,{'kernel': 'rbf'},2220
34,SVM,NoOutliers_NoCorr_NoST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.9227216564909506,0.9153098037063964,0.9325588277999233,0.9153098037063964,0.9197506546612073,0.9103782735208535,0.9314343902507047,0.9103782735208535,0.9226500582158088,0.9142032702789356,0.9333402763724729,0.9142032702789356,{'kernel': 'rbf'},169
35,SVM,NoOutliers_NoCorr_NoST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.925602742201175,0.9179572296676315,0.9355878051264012,0.9179572296676315,0.9233866178058522,0.9135467183963789,0.9354637394634043,0.9135467183963789,0.9242553333554894,0.915678101955755,0.9351265504757624,0.915678101955755,{'kernel': 'rbf'},372
36,SVM,NoOutliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.9184718619073564,0.9113455233810236,0.929811894228646,0.9113455233810236,0.9193861189101191,0.9120594891690915,0.9315659641920051,0.9120594891690915,0.9191258770023905,0.912023084321898,0.9308799621231365,0.912023084321898,{'kernel': 'rbf'},267
37,SVM,NoOutliers_NoCorr_ST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.9464647948083178,0.9425385111315345,0.9536174644307281,0.9425385111315345,0.9465211351045619,0.9424506951180084,0.9542421184849843,0.9424506951180084,0.9464627189472428,0.9424174414876563,0.9539382913125644,0.9424174414876563,{'kernel': 'rbf'},644
38,SVM,Outliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.9136454024890689,0.8980398074100493,0.934934261129585,0.8980398074100493,0.9140340031156465,0.8971225347559004,0.9372500400840944,0.8971225347559004,0.9105057492690037,0.8947098428983649,0.9328379390272729,0.8947098428983649,{'kernel': 'rbf'},218
39,SVM,Outliers_NoCorr_ST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.9656733461319074,0.9619758302355249,0.9722219916594572,0.9619758302355249,0.9639576110482908,0.9595861623019722,0.9716836743306224,0.9595861623019722,0.9651606349140276,0.9608207758897083,0.9725754663676166,0.9608207758897083,{'kernel': 'rbf'},276
40,LR,Outliers_NoCorr_NoST_PCA.csv,"(72901, 2)","(15465, 2)","(15595, 2)",0.6839764224267242,0.5198282602433437,0.9998375446273775,0.5198282602433437,0.6818897284531824,0.5174264468153895,0.9996164306151116,0.5174264468153896,0.6811543429510054,0.5165758255851234,0.9998718373697316,0.5165758255851234,"{'penalty': 'l2', 'solver': 'newton-cg'}",38
41,LR,Outliers_NoCorr_NoST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.9374533929361158,0.9343904747534327,0.9423851182147469,0.9343904747534327,0.9380854786404466,0.9346265761396703,0.9437330505555844,0.9346265761396703,0.9338548762765538,0.9311958961205514,0.9382700972072102,0.9311958961205514,"{'penalty': 'l1', 'solver': 'liblinear'}",26
42,LR,NoOutliers_NoCorr_NoST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.837901813956398,0.8181232081864447,0.8650126660714913,0.8181232081864447,0.8368712344689418,0.8160362107985775,0.8646524050958108,0.8160362107985775,0.8344591994192391,0.8141712087207438,0.8624621062682998,0.8141712087207438,"{'penalty': 'l2', 'solver': 'newton-cg'}",62
43,LR,NoOutliers_NoCorr_NoST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.9573726059049128,0.9561048545287445,0.9596474296111467,0.9561048545287445,0.9576425925914724,0.9562883931458132,0.9602430993294088,0.9562883931458132,0.9558541522565919,0.954600833600513,0.9581282473603228,0.954600833600513,"{'penalty': None, 'solver': 'newton-cg'}",162
44,LR,NoOutliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.8639103063848275,0.8465041631802033,0.8858143488438373,0.8465041631802033,0.8625684840446248,0.8440349175557711,0.8859209337783468,0.8440349175557711,0.8574990648578251,0.8393715934594421,0.8810675342975566,0.8393715934594421,"{'penalty': None, 'solver': 'lbfgs'}",5
45,LR,NoOutliers_NoCorr_ST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.9586364423705452,0.9574354261258419,0.9607830441696411,0.9574354261258419,0.958051387051496,0.9568056902683478,0.9604539667755053,0.9568056902683478,0.9574738727390403,0.9562680346264828,0.9596668535427452,0.9562680346264828,"{'penalty': None, 'solver': 'newton-cg'}",368
46,LR,Outliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.8679235207249866,0.8402491049505494,0.9078955580282007,0.8402491049505494,0.8666909550506608,0.8387972841901067,0.908324175268229,0.8387972841901067,0.8622272665519787,0.8332798974030138,0.9054109953179985,0.8332798974030138,"{'penalty': 'l1', 'solver': 'saga'}",9
47,LR,Outliers_NoCorr_ST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.9474192975156911,0.9448430062687755,0.9515291610175488,0.9448430062687755,0.946648678223782,0.943485289363078,0.9517199638329185,0.943485289363078,0.9450210161338034,0.9424815646040398,0.9491120213149221,0.9424815646040398,"{'penalty': None, 'solver': 'newton-cg'}",457
48,KNN,Outliers_NoCorr_NoST_PCA.csv,"(72901, 2)","(15465, 2)","(15595, 2)",0.9995893168388068,0.999588483011207,0.9995920874861851,0.999588483011207,0.9804497364469617,0.9802780472033624,0.9807477595242668,0.9802780472033624,0.978339569536396,0.978069894196858,0.9787777694523729,0.978069894196858,"{'n_neighbors': 11, 'p': 2, 'weights': 'distance'}",0
49,KNN,Outliers_NoCorr_NoST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.9995893168388068,0.999588483011207,0.9995920874861851,0.999588483011207,0.9908473766945955,0.9907533139346912,0.9909976724185481,0.9907533139346912,0.9888977022886943,0.9887784546328952,0.9890690776938004,0.9887784546328952,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",277
50,KNN,NoOutliers_NoCorr_NoST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.999274369438987,0.9992729866531324,0.9992787037419733,0.9992729866531324,0.9745888502791085,0.9743937924345296,0.9748810686312226,0.9743937924345296,0.9732755239152314,0.9730682911189484,0.973531403200466,0.9730682911189484,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0
51,KNN,NoOutliers_NoCorr_NoST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.999274369438987,0.9992729866531324,0.9992787037419733,0.9992729866531324,0.9873477489695193,0.9872615583575817,0.9874902772199106,0.9872615583575817,0.9846912734668535,0.984546328951587,0.9848871367019936,0.984546328951587,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",213
52,KNN,NoOutliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.999274369438987,0.9992729866531324,0.9992787037419733,0.9992729866531324,0.9884558338517073,0.9884254768832849,0.9885109624726763,0.9884254768832849,0.9861263299816405,0.9860211606284065,0.9862629940113216,0.9860211606284065,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0
53,KNN,NoOutliers_NoCorr_ST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.999274369438987,0.9992729866531324,0.9992787037419733,0.9992729866531324,0.9928083124564768,0.9927578402845134,0.992908191240925,0.9927578402845134,0.9913380777577866,0.99127925617185,0.9914203467628444,0.99127925617185,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",215
54,KNN,Outliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.9995893168388068,0.999588483011207,0.9995920874861851,0.999588483011207,0.9870544867937091,0.9869382476559974,0.9872188697258637,0.9869382476559974,0.9867202103370288,0.9865982686758576,0.9869136698942719,0.9865982686758576,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",1
55,KNN,Outliers_NoCorr_ST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.9995893168388068,0.999588483011207,0.9995920874861851,0.999588483011207,0.9916443758767043,0.9915939217588102,0.9917074686419031,0.9915939217588102,0.9914407731102504,0.9914075024046168,0.991486641507547,0.9914075024046168,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",276
56,RF,Outliers_NoCorr_NoST_PCA.csv,"(72901, 2)","(15465, 2)","(15595, 2)",0.9324862665452219,0.9288761471036062,0.9484745657291245,0.9288761471036062,0.9317242986213397,0.927643064985451,0.9483742189916254,0.927643064985451,0.9336780886062553,0.9301058031420327,0.9489307806324274,0.9301058031420327,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 100}",9
57,RF,Outliers_NoCorr_NoST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.9995888752250648,0.999588483011207,0.999589648683816,0.999588483011207,0.9954470010297886,0.9953443258971872,0.9956461466368811,0.9953443258971872,0.9946921632539311,0.9945495351074062,0.9949503868363042,0.9945495351074062,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 100}",11
58,RF,NoOutliers_NoCorr_NoST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.998726537928072,0.9987242973347417,0.9987315489137573,0.9987242973347417,0.9802575525027882,0.9799547365017782,0.9806648846880919,0.9799547365017782,0.9786085934223208,0.9781981404296248,0.97918669079707,0.9781981404296248,"{'criterion': 'log_loss', 'max_depth': 20, 'n_estimators': 125}",51
59,RF,NoOutliers_NoCorr_NoST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.9988517561824196,0.9988477524313796,0.9988610092789226,0.9988477524313796,0.9943130758448788,0.9941804073714839,0.9945375997513968,0.9941804073714839,0.9930850452147103,0.9928823340814363,0.9934318118817296,0.9928823340814363,"{'criterion': 'log_loss', 'max_depth': 20, 'n_estimators': 125}",12
60,RF,NoOutliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.9992736748937693,0.9992729866531324,0.9992752105533246,0.9992729866531324,0.9896750909467273,0.9895247332686712,0.9899352599582925,0.9895247332686712,0.9874992997781549,0.9872394998396922,0.9879015093918708,0.9872394998396922,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 100}",37
61,RF,NoOutliers_NoCorr_ST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.9988659241121723,0.9988614696643393,0.9988771141729698,0.9988614696643393,0.9946967075084617,0.9945683802133851,0.9949232305608393,0.9945683802133851,0.9935288673218655,0.9933311958961205,0.9938617528761238,0.9933311958961205,"{'criterion': 'log_loss', 'max_depth': 20, 'n_estimators': 100}",8
62,RF,Outliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.998792363407903,0.9987928834995404,0.998792368709732,0.9987928834995404,0.9880263488083223,0.9877788554801163,0.9884271237210299,0.9877788554801163,0.9867075171901205,0.9864700224430908,0.9870570454044963,0.9864700224430908,"{'criterion': 'log_loss', 'max_depth': 20, 'n_estimators': 75}",30
63,RF,Outliers_NoCorr_ST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.9992895447321951,0.9992867038860921,0.9992978628112292,0.9992867038860921,0.9953860059130383,0.9952796637568704,0.9956071732601276,0.9952796637568704,0.9950474493965146,0.9948701506893235,0.995366864994169,0.9948701506893235,"{'criterion': 'log_loss', 'max_depth': 20, 'n_estimators': 100}",11
64,Boosting,Outliers_NoCorr_NoST_PCA.csv,"(72901, 2)","(15465, 2)","(15595, 2)",0.930128262686014,0.9262698728412505,0.9464057650101892,0.9262698728412505,0.9292458531586371,0.9249919172324604,0.9459198200747482,0.9249919172324604,0.9316044681729158,0.9278614940686117,0.9469643100751153,0.9278614940686117,"{'learning_rate': 0.1, 'loss': 'log_loss', 'n_estimators': 200}",0
65,Boosting,Outliers_NoCorr_NoST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.9929852218743966,0.9927984526961221,0.9933624464348272,0.9927984526961221,0.992344263480048,0.992111218881345,0.9928385186343012,0.992111218881345,0.9914863652151324,0.99127925617185,0.9919269193614585,0.99127925617185,"{'learning_rate': 0.1, 'loss': 'log_loss', 'n_estimators': 200}",0
66,Boosting,NoOutliers_NoCorr_NoST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.9710026819373685,0.9704805146705806,0.9720447252442758,0.9704805146705806,0.9653756866557858,0.9646298092466861,0.9666593912563838,0.9646298092466861,0.964242184954878,0.963321577428663,0.965741705533124,0.963321577428663,"{'learning_rate': 0.1, 'loss': 'log_loss', 'n_estimators': 200}",0
67,Boosting,NoOutliers_NoCorr_NoST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.9917051040755581,0.9914404466331052,0.9922209190783785,0.9914404466331052,0.9898993019134337,0.989589395408988,0.990433910855227,0.989589395408988,0.9900385351115806,0.9896761782622635,0.9907307477845366,0.9896761782622635,"{'learning_rate': 0.1, 'loss': 'log_loss', 'n_estimators': 200}",0
68,Boosting,NoOutliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.9828786558896377,0.9826888520047736,0.9832504033723091,0.9826888520047736,0.9790561605214233,0.9785321694148076,0.9798926241198476,0.9785321694148076,0.979268924341581,0.978775248477076,0.9800015542242764,0.978775248477076,"{'learning_rate': 0.1, 'loss': 'log_loss', 'n_estimators': 200}",0
69,Boosting,NoOutliers_NoCorr_ST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.9917051040755581,0.9914404466331052,0.9922209190783785,0.9914404466331052,0.9900293129499954,0.9897187196896218,0.9905640465903067,0.9897187196896218,0.9900385351115806,0.9896761782622635,0.9907307477845366,0.9896761782622635,"{'learning_rate': 0.1, 'loss': 'log_loss', 'n_estimators': 200}",0
70,Boosting,Outliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.9795448141119021,0.9801374466742568,0.9797492932020251,0.9801374466742568,0.9738210882701448,0.9740058195926286,0.9745170612182789,0.9740058195926286,0.9725051482274939,0.973004168002565,0.9724467418704412,0.973004168002565,"{'learning_rate': 0.5, 'loss': 'log_loss', 'n_estimators': 200}",0
71,Boosting,Outliers_NoCorr_ST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.9929852218743966,0.9927984526961221,0.9933624464348272,0.9927984526961221,0.9922793056079583,0.9920465567410282,0.9927736635745531,0.9920465567410282,0.9914699800327251,0.99127925617185,0.9918878368789233,0.99127925617185,"{'learning_rate': 0.1, 'loss': 'log_loss', 'n_estimators': 200}",0
