,Type,Dataset,Train Size,Validation Size,Test Size,Train F1,Train Recall,Train Precision,Train Accuracy,Validation F1,Validation Recall,Validation Precision,Validation Accuracy,Test F1,Test Recall,Test Precision,Test Accuracy,Params
0,LR,Outliers_NoCorr_NoST_PCA.csv,"(72901, 2)","(15465, 2)","(15595, 2)",0.6839764224267242,0.5198282602433437,0.9998375446273775,0.5198282602433437,0.6818897284531824,0.5174264468153895,0.9996164306151116,0.5174264468153896,0.6811543429510054,0.5165758255851234,0.9998718373697316,0.5165758255851234,"{'penalty': 'l2', 'solver': 'newton-cg'}"
1,LR,Outliers_NoCorr_NoST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.9374533929361158,0.9343904747534327,0.9423851182147469,0.9343904747534327,0.9380854786404466,0.9346265761396703,0.9437330505555844,0.9346265761396703,0.9338548762765538,0.9311958961205514,0.9382700972072102,0.9311958961205514,"{'penalty': 'l1', 'solver': 'liblinear'}"
2,LR,NoOutliers_NoCorr_NoST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.837901813956398,0.8181232081864447,0.8650126660714913,0.8181232081864447,0.8368712344689418,0.8160362107985775,0.8646524050958108,0.8160362107985775,0.8344591994192391,0.8141712087207438,0.8624621062682998,0.8141712087207438,"{'penalty': 'l2', 'solver': 'newton-cg'}"
3,LR,NoOutliers_NoCorr_NoST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.9573726059049128,0.9561048545287445,0.9596474296111467,0.9561048545287445,0.9576425925914724,0.9562883931458132,0.9602430993294088,0.9562883931458132,0.9558541522565919,0.954600833600513,0.9581282473603228,0.954600833600513,"{'penalty': None, 'solver': 'newton-cg'}"
4,LR,NoOutliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.8639103063848275,0.8465041631802033,0.8858143488438373,0.8465041631802033,0.8625684840446248,0.8440349175557711,0.8859209337783468,0.8440349175557711,0.8574990648578251,0.8393715934594421,0.8810675342975566,0.8393715934594421,"{'penalty': None, 'solver': 'lbfgs'}"
5,LR,NoOutliers_NoCorr_ST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.9586364423705452,0.9574354261258419,0.9607830441696411,0.9574354261258419,0.958051387051496,0.9568056902683478,0.9604539667755053,0.9568056902683478,0.9574738727390403,0.9562680346264828,0.9596668535427452,0.9562680346264828,"{'penalty': None, 'solver': 'newton-cg'}"
6,LR,Outliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.8679235207249866,0.8402491049505494,0.9078955580282007,0.8402491049505494,0.8666909550506608,0.8387972841901067,0.908324175268229,0.8387972841901067,0.8622272665519787,0.8332798974030138,0.9054109953179985,0.8332798974030138,"{'penalty': 'l1', 'solver': 'saga'}"
7,LR,Outliers_NoCorr_ST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.9474192975156911,0.9448430062687755,0.9515291610175488,0.9448430062687755,0.946648678223782,0.943485289363078,0.9517199638329185,0.943485289363078,0.9450210161338034,0.9424815646040398,0.9491120213149221,0.9424815646040398,"{'penalty': None, 'solver': 'newton-cg'}"
