,Type,Dataset,Train Size,Validation Size,Test Size,Train F1,Train Recall,Train Precision,Train Accuracy,Validation F1,Validation Recall,Validation Precision,Validation Accuracy,Test F1,Test Recall,Test Precision,Test Accuracy,Params
0,Boosting,Outliers_NoCorr_NoST_PCA.csv,"(72901, 2)","(15465, 2)","(15595, 2)",0.930128262686014,0.9262698728412505,0.9464057650101892,0.9262698728412505,0.9292458531586371,0.9249919172324604,0.9459198200747482,0.9249919172324604,0.9316044681729158,0.9278614940686117,0.9469643100751153,0.9278614940686117,"{'learning_rate': 0.1, 'loss': 'log_loss', 'n_estimators': 200}"
1,Boosting,Outliers_NoCorr_NoST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.9929852218743966,0.9927984526961221,0.9933624464348272,0.9927984526961221,0.992344263480048,0.992111218881345,0.9928385186343012,0.992111218881345,0.9914863652151324,0.99127925617185,0.9919269193614585,0.99127925617185,"{'learning_rate': 0.1, 'loss': 'log_loss', 'n_estimators': 200}"
2,Boosting,NoOutliers_NoCorr_NoST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.9710026819373685,0.9704805146705806,0.9720447252442758,0.9704805146705806,0.9653756866557858,0.9646298092466861,0.9666593912563838,0.9646298092466861,0.964242184954878,0.963321577428663,0.965741705533124,0.963321577428663,"{'learning_rate': 0.1, 'loss': 'log_loss', 'n_estimators': 200}"
3,Boosting,NoOutliers_NoCorr_NoST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.9917051040755581,0.9914404466331052,0.9922209190783785,0.9914404466331052,0.9898993019134337,0.989589395408988,0.990433910855227,0.989589395408988,0.9900385351115806,0.9896761782622635,0.9907307477845366,0.9896761782622635,"{'learning_rate': 0.1, 'loss': 'log_loss', 'n_estimators': 200}"
4,Boosting,NoOutliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.9828786558896377,0.9826888520047736,0.9832504033723091,0.9826888520047736,0.9790561605214233,0.9785321694148076,0.9798926241198476,0.9785321694148076,0.979268924341581,0.978775248477076,0.9800015542242764,0.978775248477076,"{'learning_rate': 0.1, 'loss': 'log_loss', 'n_estimators': 200}"
5,Boosting,NoOutliers_NoCorr_ST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.9917051040755581,0.9914404466331052,0.9922209190783785,0.9914404466331052,0.9900293129499954,0.9897187196896218,0.9905640465903067,0.9897187196896218,0.9900385351115806,0.9896761782622635,0.9907307477845366,0.9896761782622635,"{'learning_rate': 0.1, 'loss': 'log_loss', 'n_estimators': 200}"
6,Boosting,Outliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.9795448141119021,0.9801374466742568,0.9797492932020251,0.9801374466742568,0.9738210882701448,0.9740058195926286,0.9745170612182789,0.9740058195926286,0.9725051482274939,0.973004168002565,0.9724467418704412,0.973004168002565,"{'learning_rate': 0.5, 'loss': 'log_loss', 'n_estimators': 200}"
7,Boosting,Outliers_NoCorr_ST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.9929852218743966,0.9927984526961221,0.9933624464348272,0.9927984526961221,0.9922793056079583,0.9920465567410282,0.9927736635745531,0.9920465567410282,0.9914699800327251,0.99127925617185,0.9918878368789233,0.99127925617185,"{'learning_rate': 0.1, 'loss': 'log_loss', 'n_estimators': 200}"
