,Type,Dataset,Train Size,Validation Size,Test Size,Train F1,Train Recall,Train Precision,Train Accuracy,Validation F1,Validation Recall,Validation Precision,Validation Accuracy,Test F1,Test Recall,Test Precision,Test Accuracy,Params
0,SVM,Outliers_NoCorr_NoST_PCA.csv,"(72901, 2)","(15465, 2)","(15595, 2)",0.6838205350274296,0.5201574738343782,0.9993269639886013,0.5201574738343782,0.6818483165512577,0.5178144196572907,0.9994243402034093,0.5178144196572907,0.680968192889863,0.5169605642834241,0.9992436959606343,0.5169605642834242,{'kernel': 'rbf'}
1,SVM,Outliers_NoCorr_NoST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.6838205350274296,0.5201574738343782,0.9993269639886013,0.5201574738343782,0.6818483165512577,0.5178144196572907,0.9994243402034093,0.5178144196572907,0.680968192889863,0.5169605642834241,0.9992436959606343,0.5169605642834242,{'kernel': 'rbf'}
2,SVM,NoOutliers_NoCorr_NoST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.9227216564909506,0.9153098037063964,0.9325588277999233,0.9153098037063964,0.9197506546612073,0.9103782735208535,0.9314343902507047,0.9103782735208535,0.9226500582158088,0.9142032702789356,0.9333402763724729,0.9142032702789356,{'kernel': 'rbf'}
3,SVM,NoOutliers_NoCorr_NoST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.925602742201175,0.9179572296676315,0.9355878051264012,0.9179572296676315,0.9233866178058522,0.9135467183963789,0.9354637394634043,0.9135467183963789,0.9242553333554894,0.915678101955755,0.9351265504757624,0.915678101955755,{'kernel': 'rbf'}
4,SVM,NoOutliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.9184718619073564,0.9113455233810236,0.929811894228646,0.9113455233810236,0.9193861189101191,0.9120594891690915,0.9315659641920051,0.9120594891690915,0.9191258770023905,0.912023084321898,0.9308799621231365,0.912023084321898,{'kernel': 'rbf'}
5,SVM,NoOutliers_NoCorr_ST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.9464647948083178,0.9425385111315345,0.9536174644307281,0.9425385111315345,0.9465211351045619,0.9424506951180084,0.9542421184849843,0.9424506951180084,0.9464627189472428,0.9424174414876563,0.9539382913125644,0.9424174414876563,{'kernel': 'rbf'}
6,SVM,Outliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.9136454024890689,0.8980398074100493,0.934934261129585,0.8980398074100493,0.9140340031156465,0.8971225347559004,0.9372500400840944,0.8971225347559004,0.9105057492690037,0.8947098428983649,0.9328379390272729,0.8947098428983649,{'kernel': 'rbf'}
7,SVM,Outliers_NoCorr_ST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.9656733461319074,0.9619758302355249,0.9722219916594572,0.9619758302355249,0.9639576110482908,0.9595861623019722,0.9716836743306224,0.9595861623019722,0.9651606349140276,0.9608207758897083,0.9725754663676166,0.9608207758897083,{'kernel': 'rbf'}
