,Type,Dataset,Train Size,Validation Size,Test Size,Train F1,Train Recall,Train Precision,Train Accuracy,Validation F1,Validation Recall,Validation Precision,Validation Accuracy,Test F1,Test Recall,Test Precision,Test Accuracy,Params
0,KNN,Outliers_NoCorr_NoST_PCA.csv,"(72901, 2)","(15465, 2)","(15595, 2)",0.9995893168388068,0.999588483011207,0.9995920874861851,0.999588483011207,0.9804497364469617,0.9802780472033624,0.9807477595242668,0.9802780472033624,0.978339569536396,0.978069894196858,0.9787777694523729,0.978069894196858,"{'n_neighbors': 11, 'p': 2, 'weights': 'distance'}"
1,KNN,Outliers_NoCorr_NoST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.9995893168388068,0.999588483011207,0.9995920874861851,0.999588483011207,0.9908473766945955,0.9907533139346912,0.9909976724185481,0.9907533139346912,0.9888977022886943,0.9887784546328952,0.9890690776938004,0.9887784546328952,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}"
2,KNN,NoOutliers_NoCorr_NoST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.999274369438987,0.9992729866531324,0.9992787037419733,0.9992729866531324,0.9745888502791085,0.9743937924345296,0.9748810686312226,0.9743937924345296,0.9732755239152314,0.9730682911189484,0.973531403200466,0.9730682911189484,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}"
3,KNN,NoOutliers_NoCorr_NoST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.999274369438987,0.9992729866531324,0.9992787037419733,0.9992729866531324,0.9873477489695193,0.9872615583575817,0.9874902772199106,0.9872615583575817,0.9846912734668535,0.984546328951587,0.9848871367019936,0.984546328951587,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}"
4,KNN,NoOutliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.999274369438987,0.9992729866531324,0.9992787037419733,0.9992729866531324,0.9884558338517073,0.9884254768832849,0.9885109624726763,0.9884254768832849,0.9861263299816405,0.9860211606284065,0.9862629940113216,0.9860211606284065,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}"
5,KNN,NoOutliers_NoCorr_ST_NoPCA.csv,"(72901, 30)","(15465, 30)","(15595, 30)",0.999274369438987,0.9992729866531324,0.9992787037419733,0.9992729866531324,0.9928083124564768,0.9927578402845134,0.992908191240925,0.9927578402845134,0.9913380777577866,0.99127925617185,0.9914203467628444,0.99127925617185,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}"
6,KNN,Outliers_NoCorr_ST_PCA.csv,"(72901, 5)","(15465, 5)","(15595, 5)",0.9995893168388068,0.999588483011207,0.9995920874861851,0.999588483011207,0.9870544867937091,0.9869382476559974,0.9872188697258637,0.9869382476559974,0.9867202103370288,0.9865982686758576,0.9869136698942719,0.9865982686758576,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}"
7,KNN,Outliers_NoCorr_ST_NoPCA.csv,"(72901, 40)","(15465, 40)","(15595, 40)",0.9995893168388068,0.999588483011207,0.9995920874861851,0.999588483011207,0.9916443758767043,0.9915939217588102,0.9917074686419031,0.9915939217588102,0.9914407731102504,0.9914075024046168,0.991486641507547,0.9914075024046168,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}"
